date,volume
3/22/2021,416520
3/23/2021,291515
3/24/2021,624030
3/25/2021,522026
3/26/2021,290024
3/29/2021,236512
3/30/2021,561513
3/31/2021,1209041
4/1/2021,526517
4/2/2021,8001
4/5/2021,1144516
4/6/2021,40502
4/7/2021,606506
4/8/2021,215006
4/9/2021,2362558
4/12/2021,368514
4/13/2021,333021
4/14/2021,2343526
4/15/2021,1413012
4/16/2021,307020
4/19/2021,437017
4/20/2021,328511
4/21/2021,248508
4/22/2021,302518
4/23/2021,1352519
4/24/2021,8001
4/26/2021,163509
4/27/2021,6227011
4/28/2021,172007
4/29/2021,80507
4/30/2021,3511539
5/3/2021,3685030
5/4/2021,201516
5/5/2021,1072510
5/6/2021,921512
5/7/2021,562511
5/10/2021,154007
5/11/2021,258020
5/12/2021,2349029
5/13/2021,1704012
5/14/2021,120015
5/17/2021,511515
5/18/2021,2520019
5/19/2021,179014
5/20/2021,1594032
5/21/2021,973008
5/22/2021,8001
5/24/2021,541005
5/25/2021,113008
5/26/2021,2826029
5/27/2021,1918022
5/28/2021,202510
6/1/2021,171510
6/2/2021,128513
6/3/2021,3185515
6/4/2021,372529
6/7/2021,113505
6/8/2021,160517
6/9/2021,913510
6/10/2021,1090029
6/11/2021,3182011
6/13/2021,8001
6/14/2021,305529
6/15/2021,342523
6/16/2021,185017
6/17/2021,360018
6/18/2021,3550523
6/21/2021,402021
6/22/2021,452042
6/23/2021,160517
6/24/2021,543020
6/25/2021,3045520
6/26/2021,8001
6/28/2021,535516
6/29/2021,471011
6/30/2021,1021511
7/1/2021,2825030
7/2/2021,452015
7/6/2021,729012
7/7/2021,1135522
7/8/2021,137508
7/9/2021,1987014
7/12/2021,24003
7/13/2021,479511
7/14/2021,207005
7/15/2021,204508
7/16/2021,227517
7/17/2021,32501
7/19/2021,982526
7/20/2021,48006
7/21/2021,2245016
7/22/2021,463012
7/23/2021,1630512
7/26/2021,8001
7/27/2021,958027
7/28/2021,48006
7/29/2021,333004
7/30/2021,1896514
7/31/2021,83002
8/2/2021,610519
8/3/2021,80507
8/4/2021,104013
8/5/2021,312012
8/6/2021,112014
8/9/2021,511041
8/10/2021,454512
8/11/2021,2221017
8/12/2021,957006
8/13/2021,226016
8/16/2021,17572519
8/17/2021,64008
8/18/2021,121009
8/19/2021,7380015
8/20/2021,417019
