disclosure_year,disclosure_date,transaction_date,ticker,asset_description,type,amount,representative,district,ptr_link,cap_gains_over_200_usd,party,,
2020,2020-04-28,2020-03-18,CBRE,CBRE Group Inc Common Stock Class A,sale_partial,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE,Democrat,,
2020,2020-04-28,2020-03-24,CNC,Centene Corporation,purchase,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE,Democrat,,
2020,2020-04-28,2020-03-31,DG,Dollar General Corporation,purchase,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE,Democrat,,
2020,2020-04-28,2020-02-26,DPZ,Domino's Pizza Inc,sale_partial,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,TRUE,Democrat,,
2020,2020-04-28,2020-02-05,DNKN,"Dunkin' Brands Group, Inc.",sale_full,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE,Democrat,,
2020,2020-04-28,2020-02-24,ENV,"Envestnet, Inc",sale_full,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE,Democrat,,
2020,2020-04-28,2020-02-21,ENV,"Envestnet, Inc",sale_partial,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE,Democrat,,
2020,2020-04-28,2020-03-06,AQUA,Evoqua Water Technologies Corp.,purchase,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE,Democrat,,
2020,2020-04-28,2020-03-17,LKQ,LKQ Corporation,sale_partial,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE,Democrat,,
2020,2020-04-28,2020-02-24,MAS,Masco Corporation,purchase,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE,Democrat,,
2020,2020-04-28,2020-02-05,NXST,"Nexstar Media Group, Inc. - Class A",sale_partial,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,TRUE,Democrat,,
2020,2020-04-28,2020-02-24,OKE,"ONEOK, Inc.",sale_partial,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,TRUE,Democrat,,
2020,2020-04-28,2020-03-09,OKE,"ONEOK, Inc.",sale_full,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE,Democrat,,
2020,2020-04-28,2020-02-24,PANW,"Palo alto Networks, Inc.",sale_full,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,TRUE,Democrat,,
2020,2020-04-28,2020-03-06,RP,"RealPage, Inc.",sale_full,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,TRUE,Democrat,,
2020,2020-04-28,2020-03-16,QSR,Restaurant Brands International Inc. Common Shares,sale_full,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE,Democrat,,
2020,2020-04-28,2020-02-05,QSR,Restaurant Brands International Inc. Common Shares,purchase,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE,Democrat,,
2020,2020-04-28,2020-03-24,SCI,Service Corporation International,sale_partial,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE,Democrat,,
