ticker,
CCL," $80,507.00 "
CCXX, $-   
DELL," $48,006.00 "
GGT," $32,501.00 "
MAR," $81,004.00 "
NMIH," $8,001.00 "
NLOK," $8,001.00 "
RSG," $40,005.00 "
SABR," $16,002.00 "
TOL," $24,003.00 "
ABT," $96,509.00 "
ANTM," $182,006.00 "
KMX," $64,505.00 "
ECL," $222,026.00 "
INTU," $145,509.00 "
MA," $169,015.00 "
QCOM," $115,514.00 "
RTX," $113,008.00 "
RPM," $81,004.00 "
WM," $40,005.00 "
CVX," $841,525.00 "
FHN," $40,005.00 "
PEAK," $32,004.00 "
SLB," $228,014.00 "
DIS," $812,532.00 "
PG," $277,014.00 "
AMZN," $1,508,540.00 "
DOMO," $48,503.00 "
APD," $81,508.00 "
GOOG," $306,523.00 "
AMGN," $80,010.00 "
CFG," $16,002.00 "
CME," $64,008.00 "
INTC," $226,016.00 "
INTL," $8,001.00 "
JNJ," $372,022.00 "
JPM," $897,032.00 "
PKG, $-   
PFE," $225,022.00 "
SBUX," $314,027.00 "
WMT," $560,018.00 "
ESTC," $83,002.00 "
APPL," $64,505.00 "
DEO," $121,009.00 "
NSRGY," $483,522.00 "
RHHBY," $344,513.00 "
AAL," $328,014.00 "
SNV," $16,002.00 "
FVRR," $24,003.00 "
FNV," $24,003.00 "
ILMN," $120,512.00 "
LDNXF," $32,004.00 "
NDAQ," $72,506.00 "
CAPL," $3,407,503.00 "
ET," $2,516,008.00 "
ENLC," $3,080,511.00 "
NGL," $940,007.00 "
PBFX," $3,582,509.00 "
SHLX," $4,750,005.00 "
BKI," $37,009.00 "
HHC," $207,005.00 "
O," $24,003.00 "
CHWY," $113,008.00 "
CNA, $-   
COIN," $228,511.00 "
W," $218,512.00 "
CDK," $32,004.00 "
J," $48,503.00 "
RARE, $-   
CTXS," $24,003.00 "
WMC," $8,001.00 "
BIAWX," $8,001.00 "
IQV," $104,510.00 "
APCD," $16,002.00 "
OWLSX," $156,005.00 "
ALIZY," $16,002.00 "
ATRC," $24,003.00 "
DVN," $16,002.00 "
DISCA," $24,003.00 "
ETSY," $16,002.00 "
EXAS," $56,007.00 "
LCRX," $8,001.00 "
MTDR," $8,001.00 "
SF," $8,001.00 "
KRE," $48,503.00 "
UBER," $113,008.00 "
AM," $6,090,013.00 "
LINK-USD," $8,001.00 "
ENBL," $1,315,008.00 "
GLP," $975,005.00 "
USAC," $1,850,005.00 "
LTD, $-   
MRVL," $40,502.00 "
TAP," $16,002.00 "
SAIC," $32,004.00 "
JOE," $8,001.00 "
TER," $16,002.00 "
ENS, $-   
NVEE," $8,001.00 "
OSW," $183,002.00 "
SGIOY," $8,001.00 "
VSAT," $183,002.00 "
WW," $175,001.00 "
SCHD, $-   
INFO," $193,018.00 "
CMG," $40,502.00 "
T," $306,024.00 "
WBA," $64,505.00 "
VIAC," $1,711,018.00 "
AIG," $40,005.00 "
ZNGA, $-   
SBAC," $83,002.00 "
HUM," $8,001.00 "
TXN," $88,508.00 "
ORLY," $16,002.00 "
MET," $80,010.00 "
ASMB," $8,001.00 "
RETA," $8,001.00 "
SRNE," $8,001.00 "
Z," $222,011.00 "
